Index,Compound name,A_site,A'_site,B_site,B'_site,C_A,C_A',Cn_A,Cn_A',C_B,C_B',Cn_B,Cn_B',r_Asite,r_A'site,r_Bsite,r_B'site,Avg_AA',Avg_BB',TF,Energy,Fermi_energy,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,space_group_LS,Space_group_No_LS,space_group_HS,Space_group_No_HS,Total_mag_Outcar,mag_B,mag_B',mag_O,A_s,A_p,A_d,A'_s,A'_p,A'_d,B_s,B_p,B_d,B'_s,B'_p,B'_d,O_s,O_p,dis_x_A1,dis_x_A2,dis_y_A1,dis_y_A2,dis_x_A'1,dis_x_A'2,dis_y_A'1,dis_y_A'2,|x_A_dis|,|y_A_dis|,|x_A'_dis|,|y_A'_dis|,|A_dis|,|A'_dis|,tilt_angle,rot_angle,target_label
Comp_10,BaHfMnNiO6_L,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,1.125,0.61,0.893037554,-141.3711003,4.41581411,5.481362,5.490954,7.589968,90,89.800896,90,228.440791,P21,4,P4/nmm,129,9.705,2.707,1.7355,0.061916667,2.008,5.63,0.363,0.4635,0.7415,2.118,0.359,0.566,4.891,0.367,0.475,8.217,1.56025,3.463,-0.019173274,0.019173254,8.38E-06,8.38E-06,-0.093872508,0.093872488,-0.089676362,-0.089676382,0.019173264,8.38E-06,0.093872498,0.089676372,0.019173266,0.129822562,6.65626512,32.34218866,1
Comp_11,BaHfMnNiO6_L,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,0.68,0.61,0.732471206,-141.3711003,4.41747957,5.481362,5.490954,7.589968,90,89.800896,90,228.440791,P21,4,P4/nmm,129,9.705,2.707,1.7355,0.061916667,2.008,5.63,0.363,0.4635,0.7415,2.118,0.359,0.566,4.891,0.367,0.475,8.217,1.56025,3.463,-0.019173274,0.019173254,8.38E-06,8.38E-06,-0.093872508,0.093872488,-0.089676362,-0.089676382,0.019173264,8.38E-06,0.093872498,0.089676372,0.019173266,0.129822562,6.660802058,32.33221515,1
Comp_12,BaHfMnNiO6_R,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,1.125,0.61,0.893037554,-140.8621559,4.37974503,5.338003,5.457809,7.74534,89.999405,89.463219,90.001595,225.641305,Pc,7,F-4 3m,216,9.704,2.737,1.746,0.0545,2.012,5.647,0.425,0.496,0.717,2.138,0.341,0.532,4.853,0.345,0.432,8.1725,1.560333333,3.4555,-0.003434401,-0.003383693,-0.013332555,-0.013332555,-0.032236301,-0.032238186,-0.056936956,0.056950544,0.003409047,0.013332555,0.032237243,0.05694375,0.013761491,0.065435697,12.00480139,24.12219138,2
Comp_13,BaHfMnNiO6_R,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,0.68,0.61,0.732471206,-140.8621559,4.3796295,5.338003,5.457809,7.74534,89.999405,89.463219,90.001595,225.641305,Pc,7,F-4 3m,216,9.704,2.737,1.746,0.0545,2.012,5.647,0.425,0.496,0.717,2.138,0.341,0.532,4.853,0.345,0.432,8.1725,1.560333333,3.4555,-0.003434401,-0.003383693,-0.013332555,-0.013332555,-0.032236301,-0.032238186,-0.056936956,0.056950544,0.003409047,0.013332555,0.032237243,0.05694375,0.013761491,0.065435697,12.00182369,24.12709884,2
Comp_14,BaHoMnNiO6_L,Ba,Ho,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.015,0.53,0.69,1.2175,0.61,0.926413706,-134.5015,3.10390556,5.374386,5.456546,7.744576,90,90.178764,90,227.113097,P21,4,P4/nmm,129,7.923,2.549,1.619,-0.039833333,2.01,5.6245,0.399,0.318,6.784,1.2095,0.372,0.599,4.8785,0.375,0.505,8.2155,1.563666667,3.4305,-0.003785102,0.003785082,-0.018597593,-0.018597593,0.00659693,-0.006596951,0.057376734,0.057376713,0.003785092,0.018597593,0.00659694,0.057376723,0.018978867,0.057754723,14.34664855,14.49495905,1
Comp_15,BaHoMnNiO6_R,Ba,Ho,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.015,0.53,0.69,1.2175,0.61,0.926413706,-134.3431,3.05850492,5.412169,5.530045,7.610135,89.944641,90.331833,90.063492,227.763729,Pc,7,F-4 3m,216,7.933,2.527,1.663,-0.042666667,2.013,5.633,0.4265,0.3275,6.7725,1.2485,0.368,0.591,4.865,0.3645,0.48,8.1905,1.564166667,3.426,0.000979686,0.001468333,-0.012514227,-0.012514227,0.01739807,0.018603409,-0.056314183,0.055551495,0.001224009,0.012514227,0.01800074,0.055932839,0.012573944,0.058758056,8.455714654,4.511629401,2
Comp_16,BaPbMnNiO6_C,Ba,Pb,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.94,0.53,0.69,1.18,0.61,0.912882833,-120.2194351,3.80250707,5.45807,5.544098,7.67643,90.722809,90.677658,90.665665,232.238548,P-1,2,P42/mmc,131,9.639,2.702,1.7235,0.0585,2.014,5.64,0.421,1.461,1.327,0.385,0.354,0.563,4.8505,0.3545,0.455,8.186,1.571833333,3.395166667,0.001001737,-0.001001737,-0.027731039,-0.027731039,0.019783575,-0.019783616,-0.050250322,0.050250282,0.001001737,0.027731039,0.019783596,0.050250302,0.027749126,0.054004477,17.38908917,16.22328383,0
Comp_17,BaPbMnNiO6_L,Ba,Pb,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.94,0.53,0.69,1.18,0.61,0.912882833,-120.142749,4.0364458,5.379386,5.507858,7.846538,90,90.215019,90,232.482605,P21,4,P4/nmm,129,9.679,2.6725,1.732,0.065583333,2.012,5.629,0.409,1.4345,1.3625,0.424,0.359,0.5675,4.8735,0.354,0.4505,8.189,1.571916667,3.400083333,-0.004335343,0.004335323,-0.026741468,-0.026741468,0.006540738,-0.006540758,0.062353957,0.062353936,0.004335333,0.026741468,0.006540748,0.062353946,0.027090612,0.062696061,15.84856297,20.12703312,1
Comp_18,BaPbMnNiO6_R,Ba,Pb,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.94,0.53,0.69,1.18,0.61,0.912882833,-120.0465584,3.88960891,5.432747,5.485907,7.833626,89.999069,89.733009,90.000908,233.467301,Pc,7,F-4 3m,216,9.679,2.706,1.7395,0.059,2.011,5.645,0.397,1.465,1.412,0.412,0.35,0.547,4.852,0.349,0.44,8.168,1.5715,3.3935,-0.000411586,-0.00041275,-0.005674763,-0.005674763,-0.020544019,-0.02060659,-0.04275169,0.042756334,0.000412168,0.005674763,0.020575304,0.042754012,0.005689711,0.047447325,8.219798535,20.39482673,2
Comp_19,BaSmMnNiO6_C,Ba,Sm,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.079,0.53,0.69,1.2495,0.61,0.93796005,-135.5711,3.24569525,5.507602,5.502601,7.530786,90.017365,89.994141,89.013573,228.195174,P-1,2,P42/mmc,131,7.924,2.6475,1.5835,-0.049666667,2.008,5.63,0.39,2.103,5.964,0.786,0.371,0.5955,4.881,0.3865,0.5405,8.234,1.564166667,3.425666667,-0.002870908,0.002870908,-0.003523501,-0.003523501,-0.009226388,0.009226348,-0.010851453,0.010851413,0.002870908,0.003523501,0.009226368,0.010851433,0.004545017,0.014243576,9.994586027,0.700436094,0
Comp_20,BaSmMnNiO6_L,Ba,Sm,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.079,0.53,0.69,1.2495,0.61,0.93796005,-135.469,3.34403418,5.472462,5.426559,7.669853,90,90.079407,90,227.768627,P21,4,P4/nmm,129,7.917,2.599,1.5755,-0.040833333,2.006,5.627,0.369,2.1015,5.968,0.778,0.376,0.607,4.895,0.387,0.542,8.2385,1.564,3.428666667,-0.005949292,0.005949271,-0.001842874,-0.001842874,-0.010377344,0.010377324,0.013385944,0.013385924,0.005949282,0.001842874,0.010377334,0.013385934,0.006228173,0.016937305,9.145335145,2.178423487,1
Comp_21,BaSmMnNiO6_R,Ba,Sm,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.079,0.53,0.69,1.2495,0.61,0.93796005,-135.3766,3.14348896,5.453622,5.51724,7.678932,89.996819,90.236031,90.02874,231.048933,Pc,7,F-4 3m,216,7.901,2.5315,1.656,-0.0425,2.012,5.631,0.4155,2.112,5.971,0.84,0.369,0.595,4.868,0.367,0.49,8.199,1.564833333,3.4235,0.001109173,0.001055763,-0.00958997,-0.00958997,0.011865367,0.011686107,-0.046383873,0.046143955,0.001082468,0.00958997,0.011775737,0.046263914,0.009650868,0.047739059,6.525845998,5.307620124,2
Comp_22,BaSnMnNiO6_L,Ba,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.81,0.53,0.69,0.67,0.61,0.728862974,-135.468,4.62848666,5.181285,5.379873,8.38648,90,91.280838,90,233.711846,P21,4,P4/nmm,129,9.637,2.681,1.7185,0.063083333,2.011,5.618,0.3995,1.107,1.4695,0.575,0.363,0.566,4.8925,0.381,0.484,8.239,1.569666667,3.432833333,-0.011355652,0.011355632,-0.02081439,-0.02081439,0.020344929,-0.020344949,0.074467006,0.074466986,0.011355642,0.02081439,0.020344939,0.074466996,0.023710534,0.077196179,22.29828621,24.0158606,1
Comp_23,BaSnMnNiO6_R,Ba,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.81,0.53,0.69,0.67,0.61,0.728862974,-135.376,4.57659288,5.377314,5.433235,7.795218,89.998451,89.561584,89.998375,227.740054,Pc,7,F-4 3m,216,9.691,2.74,1.748,0.053916667,2.012,5.646,0.416,1.146,1.541,0.568,0.342,0.528,4.848,0.346,0.428,8.162,1.566166667,3.422,0.000316274,0.000303885,-0.003547466,-0.003547466,-0.031374436,-0.031356375,-0.042849332,0.042832441,0.00031008,0.003547466,0.031365405,0.042840886,0.003560992,0.053095482,69.95110304,24.3981929,2
Comp_24,BaTbMnNiO6_C,Ba,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.88,0.53,0.69,1.15,0.61,0.902058136,-138.224791,3.2152805,5.506828,5.478559,7.512608,90.38932,90.659378,89.719971,226.628592,P-1,2,P42/mmc,131,7.962,2.645,1.5975,-0.050916667,2.01,5.631,0.404,0.237,6.52,1.133,0.371,0.5945,4.8775,0.3835,0.53,8.2285,1.564333333,3.426333333,0.000492002,-0.000492002,-0.010522266,-0.010522266,0.002087823,-0.002087864,-0.027063769,0.027063728,0.000492002,0.010522266,0.002087844,0.027063749,0.010533762,0.027144163,13.44503192,6.466670554,0
Comp_25,BaTbMnNiO6_L,Ba,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.88,0.53,0.69,1.15,0.61,0.902058136,-138.699911,3.21214075,5.4115,5.449193,7.721151,90,90.149811,90,227.682909,P21,4,P4/nmm,129,7.915,2.5575,1.6115,-0.040666667,2.009,5.625,0.39,0.247,6.568,1.173,0.374,0.6025,4.8835,0.377,0.513,8.22,1.56375,3.4295,-0.004538424,0.004538404,-0.014792138,-0.014792138,0.002103023,-0.002103043,0.048007611,0.048007591,0.004538414,0.014792138,0.002103033,0.048007601,0.015472703,0.048053642,12.8750759,11.92237716,1
Comp_26,BaTbMnNiO6_R,Ba,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.88,0.53,0.69,1.15,0.61,0.902058136,-134.8607192,3.13843396,5.425473,5.527123,7.630313,90.001213,90.257225,90.003967,228.809887,Pc,7,F-4 3m,216,7.927,2.5275,1.66,-0.042333333,2.012,5.633,0.423,0.256,6.5655,1.2145,0.368,0.593,4.866,0.366,0.484,8.194,1.5645,3.425166667,0.00114184,0.001191735,-0.011303317,-0.011303317,0.015283408,0.015438001,-0.053614888,0.053595257,0.001166788,0.011303317,0.015360705,0.053605073,0.011363378,0.055762488,7.730231075,5.337322779,2
Comp_27,BaTmMnNiO6_C,Ba,Tm,Mn,Ni,2,3,8,8,4,3,6,6,1.42,0.994,0.53,0.69,1.207,0.61,0.922625061,-133.9758,3.04182709,5.473557,5.491906,7.50342,90.843765,90.976433,90.728683,225.478603,P-1,2,P42/mmc,131,7.976,2.628,1.622,-0.051333333,2.013,5.631,0.425,0.369,6.904,1.182,0.368,0.5905,4.87,0.3775,0.511,8.2165,1.564333333,3.4275,0.001820015,-0.001820015,-0.021902772,-0.021902772,0.012102764,-0.012102804,-0.045547301,0.04554726,0.001820015,0.021902772,0.012102784,0.04554728,0.021978259,0.047127827,16.28659743,13.43155413,0
Comp_28,BaTmMnNiO6_L,Ba,Tm,Mn,Ni,2,3,8,8,4,3,6,6,1.42,0.994,0.53,0.69,1.207,0.61,0.922625061,-133.8833,3.04877907,5.340471,5.46042,7.758624,90,90.126869,90,226.25035,P21,4,P4/nmm,129,7.927,2.5375,1.628,-0.039,2.011,5.6235,0.406,0.385,6.989,1.23,0.372,0.599,4.877,0.373,0.497,8.2115,1.563833333,3.431833333,-0.003455551,0.003455531,-0.022809299,-0.022809299,0.009875499,-0.009875519,0.06487908,0.064879059,0.003455541,0.022809299,0.009875509,0.064879069,0.023069566,0.065626362,15.80928985,16.84493421,1
Comp_29,BaTmMnNiO6_R,Ba,Tm,Mn,Ni,2,3,8,8,4,3,6,6,1.42,0.994,0.53,0.69,1.207,0.61,0.922625061,-133.7023,3.01358573,5.39902,5.528856,7.593093,89.989433,90.36689,89.998886,226.652275,Pc,7,F-4 3m,216,7.942,2.5285,1.666,-0.043083333,2.013,5.634,0.4295,0.396,6.9705,1.276,0.3665,0.588,4.8625,0.364,0.476,8.187,1.564416667,3.427166667,0.001553525,0.001657296,-0.013493686,-0.013493686,0.021002169,0.021060856,-0.057124674,0.057099786,0.00160541,0.013493686,0.021031513,0.05711223,0.013588852,0.060861575,18.90970755,4.422476583,2
Comp_30,BaZrMnNiO6_C,Ba,Zr,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.84,0.53,0.69,1.13,0.61,0.894841671,-139.5101869,4.21840011,5.414441,5.556661,7.474435,91.243744,91.192635,90.681992,224.758595,P-1,2,P42/mmc,131,9.738,2.7735,1.7235,0.051166667,2.016,5.641,0.448,0.448,0.674,2.179,0.35,0.5525,4.8585,0.3615,0.463,8.207,1.562583333,3.4475,0.001346673,-0.001346673,-0.039404832,-0.039404832,0.027016047,-0.027016087,-0.065818325,0.065818285,0.001346673,0.039404832,0.027016067,0.065818305,0.039427837,0.071147151,21.89052969,18.45778993,0
Comp_31,BaZrMnNiO6_L,Ba,Zr,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.84,0.53,0.69,1.13,0.61,0.894841671,-139.2194868,4.31183101,5.467896,5.498711,7.631068,90,89.841698,90,229.43771,P21,4,P4/nmm,129,9.714,2.7095,1.7335,0.061,2.008,5.63,0.361,0.456,0.724,2.2535,0.359,0.568,4.891,0.365,0.476,8.217,1.562666667,3.45275,-0.015304859,0.015304839,0.002460739,0.002460739,-0.087014785,0.087014764,-0.085489346,-0.085489367,0.015304849,0.002460739,0.087014774,0.085489356,0.015501408,0.12198361,5.832602428,30.31646913,1
Comp_32,BaZrMnNiO6_R,Ba,Zr,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.84,0.53,0.69,1.13,0.61,0.894841671,-138.7651969,4.17026663,5.362268,5.563664,7.627203,90.037552,90.857399,89.985069,227.523336,Pc,7,F-4 3m,216,9.717,2.754,1.7425,0.0505,2.012,5.649,0.4255,0.48,0.696,2.3125,0.343,0.5335,4.854,0.348,0.4375,8.1735,1.56325,3.4445,-0.001114235,-0.001641448,-0.02284152,-0.02284152,0.034403674,0.033770182,-0.055918647,0.056092167,0.001377842,0.02284152,0.034086928,0.056005407,0.022883039,0.065563132,12.81600424,2.683500772,2
Comp_33,BiCaMnNiO6_C,Bi,Ca,Mn,Ni,3,2,8,8,4,3,6,6,1.17,1.12,0.53,0.69,0.825,0.61,0.784790578,-127.434828,4.82137409,5.269406,5.479347,7.527122,89.923256,89.828056,90.27887,217.326103,P-1,2,P42/mmc,131,8.257,2.6155,1.709,-0.024333333,1.761,1.407,0.347,2.033,5.872,0.286,0.3685,0.5975,4.879,0.3655,0.485,8.216,1.566833333,3.4205,-0.020124562,0.020124562,-0.067080659,-0.067080659,0.014928438,-0.014928479,-0.057740831,0.05774079,0.020124562,0.067080659,0.014928458,0.05774081,0.070034369,0.059639417,15.51010026,18.23295444,0
Comp_34,BiCaMnNiO6_L,Bi,Ca,Mn,Ni,3,2,8,8,4,3,6,6,1.17,1.12,0.53,0.69,0.825,0.61,0.784790578,-127.127937,4.66289701,5.278728,5.48777,7.507977,90,89.813339,90,217.493231,P21,4,P4/nmm,129,8.115,2.57,1.7105,-0.027666667,1.775,1.3705,0.333,2.032,5.869,0.2865,0.3725,0.601,4.8895,0.368,0.489,8.2165,1.567166667,3.4195,-0.010236894,0.010236874,-0.064968009,-0.064968009,0.009137269,-0.009137289,0.055266726,0.055266706,0.010236884,0.064968009,0.009137279,0.055266716,0.065769567,0.05601696,14.5318315,24.20039825,1
Comp_35,BiCaMnNiO6_R,Bi,Ca,Mn,Ni,3,2,8,8,4,3,6,6,1.17,1.12,0.53,0.69,0.825,0.61,0.784790578,-127.434869,4.72600991,5.259597,5.486813,7.519847,89.999939,89.730164,90.000786,217.008562,Pc,7,F-4 3m,216,8.433,2.637,1.709,-0.014416667,1.76,1.409,0.342,2.033,5.874,0.288,0.368,0.596,4.875,0.365,0.485,8.215,1.567,3.4195,-0.017738542,-0.017728356,-0.064554061,-0.064554061,0.01498394,0.015005356,-0.056805187,0.056802378,0.017733449,0.064554061,0.014994648,0.056803782,0.066945515,0.058749546,16.9172707,22.44180609,2
Comp_36,BiMgMnNiO6_C,Bi,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.89,0.53,0.69,0.71,0.61,0.743295904,-124.042465,5.32695167,5.152399,5.352338,7.51077,90.346558,89.921654,91.292145,207.070742,P-1,2,P42/mmc,131,8.307,2.617,1.7195,-0.020333333,1.758,1.45,0.377,0.129,0.131,0,0.3705,0.6015,4.8805,0.3675,0.486,8.221,1.565833333,3.428166667,-0.016840961,0.016840961,-0.068860563,-0.068860563,0.008546889,-0.00854693,-0.046522815,0.046522775,0.016840961,0.068860563,0.00854691,0.046522795,0.070890021,0.047301376,19.73905133,23.08984092,0
Comp_37,BiMgMnNiO6_L,Bi,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.89,0.53,0.69,0.71,0.61,0.743295904,-123.663764,5.19066593,5.229069,5.367595,7.385007,90,89.62899,90,207.274529,P21,4,P4/nmm,129,8.095,2.602,1.721,-0.032916667,1.765,1.4475,0.3735,0.13,0.131,0,0.3695,0.589,4.88,0.3665,0.479,8.2115,1.566083333,3.425916667,-0.016651648,0.016651627,-0.061925581,-0.061925581,-0.017428589,0.017428569,0.042845596,0.042845576,0.016651638,0.061925581,0.017428579,0.042845586,0.064125304,0.046254725,22.28421081,30.57057752,1
Comp_38,BiMgMnNiO6_R,Bi,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.89,0.53,0.69,0.71,0.61,0.743295904,-124.083912,5.29243782,5.137551,5.362342,7.45894,90.002831,89.701469,89.999931,205.485817,Pc,7,F-4 3m,216,8.371,2.6275,1.716,-0.016666667,1.758,1.459,0.3725,0.124,0.129,0,0.371,0.602,4.88,0.368,0.49,8.225,1.565833333,3.427333333,-0.01493863,-0.014924006,-0.06483484,-0.06483484,0.023580855,0.023728177,-0.061739765,0.061786543,0.014931318,0.06483484,0.023654516,0.061763154,0.066531952,0.066137911,18.79314628,20.98145765,2
Comp_39,BiSnMnNiO6_C,Bi,Sn,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.81,0.53,0.69,0.67,0.61,0.728862974,-124.864875,6.92898329,5.336612,5.447929,7.610425,92.153053,89.457626,92.471413,220.892885,P-1,2,P42/mmc,131,7.806,1.9175,1.7195,0.0405,1.869,1.315,0.274,1.167,1.581,0.609,0.3115,0.4635,4.963,0.3565,0.4545,8.2205,1.567,3.425333333,-0.010742467,0.010742467,-0.057772981,-0.057772981,0.007911017,-0.007911057,-0.055019754,0.055019714,0.010742467,0.057772981,0.007911037,0.055019734,0.058763236,0.05558557,21.00974369,22.79571049,0
